# Summary: Whole-Script Confusables
# File: confusablesWholeScript.txt
# Version: 8.0.0
# Generated: 2015-05-17, 03:09:04 GMT
# Checkin: $Revision: 1.32 $
#
# For documentation and usage, see http://www.unicode.org/reports/tr39/
#
# This data is used for determining whether a strings is a
# whole-script or mixed-script confusable.
# The mappings here ignore common and inherited script characters,
# such as accents.

# Lowercase Only

# Arabic; Armenian: [ه٥ھہە۵ۿ]; [օ]

0647          ; Arab; Armn; L #      (ه)  ARABIC LETTER HEH
06F5          ; Arab; Mlym; L #      (۵)  EXTENDED ARABIC-INDIC DIGIT FIVE
06FF          ; Arab; Mlym; L #      (ۿ)  ARABIC LETTER HEH WITH INVERTED V

# Total code points: 7

# Arabic; Myanmar: [ه٥ھہە۵ۿ]; [ဝ၀]

0647          ; Arab; Mymr; L #      (ه)  ARABIC LETTER HEH
0665          ; Arab; Mymr; L #      (٥)  ARABIC-INDIC DIGIT FIVE
06BE          ; Arab; Mymr; L #      (ھ)  ARABIC LETTER HEH DOACHASHMEE
06C1          ; Arab; Mymr; L #      (ہ)  ARABIC LETTER HEH GOAL
06D5          ; Arab; Mymr; L #      (ە)  ARABIC LETTER AE
06F5          ; Arab; Mymr; L #      (۵)  EXTENDED ARABIC-INDIC DIGIT FIVE
06FF          ; Arab; Mymr; L #      (ۿ)  ARABIC LETTER HEH WITH INVERTED V

# Total code points: 7

# Arabic; Sinhala: [ه٥ھہە۵ۿ]; [ං]

0647          ; Arab; Sinh; L #      (ه)  ARABIC LETTER HEH
0665          ; Arab; Sinh; L #      (٥)  ARABIC-INDIC DIGIT FIVE
06BE          ; Arab; Sinh; L #      (ھ)  ARABIC LETTER HEH DOACHASHMEE
06C1          ; Arab; Sinh; L #      (ہ)  ARABIC LETTER HEH GOAL
06D5          ; Arab; Sinh; L #      (ە)  ARABIC LETTER AE
06F5          ; Arab; Sinh; L #      (۵)  EXTENDED ARABIC-INDIC DIGIT FIVE
06FF          ; Arab; Sinh; L #      (ۿ)  ARABIC LETTER HEH WITH INVERTED V

# Total code points: 7

# Arabic; Tamil: [ه٥ھہە۵ۿ]; [௦]

0647          ; Arab; Taml; L #      (ه)  ARABIC LETTER HEH
0665          ; Arab; Taml; L #      (٥)  ARABIC-INDIC DIGIT FIVE
06BE          ; Arab; Taml; L #      (ھ)  ARABIC LETTER HEH DOACHASHMEE
06C1          ; Arab; Taml; L #      (ہ)  ARABIC LETTER HEH GOAL
06D5          ; Arab; Taml; L #      (ە)  ARABIC LETTER AE
06F5          ; Arab; Taml; L #      (۵)  EXTENDED ARABIC-INDIC DIGIT FIVE
06FF          ; Arab; Taml; L #      (ۿ)  ARABIC LETTER HEH WITH INVERTED V

# Total code points: 7

# Arabic; Telugu: [ه٥ھہە۵ۿ]; [ం౦]

0647          ; Arab; Telu; L #      (ه)  ARABIC LETTER HEH
0665          ; Arab; Telu; L #      (٥)  ARABIC-INDIC DIGIT FIVE
06BE          ; Arab; Telu; L #      (ھ)  ARABIC LETTER HEH DOACHASHMEE
06C1          ; Arab; Telu; L #      (ہ)  ARABIC LETTER HEH GOAL
06D5          ; Arab; Telu; L #      (ە)  ARABIC LETTER AE
06F5          ; Arab; Telu; L #      (۵)  EXTENDED ARABIC-INDIC DIGIT FIVE
06FF          ; Arab; Telu; L #      (ۿ)  ARABIC LETTER HEH WITH INVERTED V

# Total code points: 7

# Arabic; Thai: [ه٥ھہە۵ۿ]; [๐]

0647          ; Arab; Thai; L #      (ه)  ARABIC LETTER HEH
0665          ; Arab; Thai; L #      (٥)  ARABIC-INDIC DIGIT FIVE
06BE          ; Arab; Thai; L #      (ھ)  ARABIC LETTER HEH DOACHASHMEE
06C1          ; Arab; Thai; L #      (ہ)  ARABIC LETTER HEH GOAL
06D5          ; Arab; Thai; L #      (ە)  ARABIC LETTER AE
06F5          ; Arab; Thai; L #      (۵)  EXTENDED ARABIC-INDIC DIGIT FIVE
06FF          ; Arab; Thai; L #      (ۿ)  ARABIC LETTER HEH WITH INVERTED V

# Total code points: 7

# Armenian; Arabic: [օ]; [ه٥ھہە۵ۿ]

0585          ; Armn; Arab; L #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Cyrillic: [ագզհոռսօ]; [опцћһөԛԝ]

0561          ; Armn; Cyrl; L #      (ա)  ARMENIAN SMALL LETTER AYB
0563          ; Armn; Cyrl; L #      (գ)  ARMENIAN SMALL LETTER GIM
0566          ; Armn; Cyrl; L #      (զ)  ARMENIAN SMALL LETTER ZA
0570          ; Armn; Cyrl; L #      (հ)  ARMENIAN SMALL LETTER HO
0578          ; Armn; Cyrl; L #      (ո)  ARMENIAN SMALL LETTER VO
057C..057D    ; Armn; Cyrl; L #  [2] (ռ..ս)  ARMENIAN SMALL LETTER RA..ARMENIAN SMALL LETTER SEH
0585          ; Armn; Cyrl; L #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 8

# Armenian; Devanagari: [օ]; [०]

0585          ; Armn; Deva; L #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Georgian: [օ]; [ჿ]

0585          ; Armn; Geor; L #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Greek: [ծոռսօ]; [δηοπσυ]

056E          ; Armn; Grek; L #      (ծ)  ARMENIAN SMALL LETTER CA
0578          ; Armn; Grek; L #      (ո)  ARMENIAN SMALL LETTER VO
057C..057D    ; Armn; Grek; L #  [2] (ռ..ս)  ARMENIAN SMALL LETTER RA..ARMENIAN SMALL LETTER SEH
0585          ; Armn; Grek; L #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 5

# Armenian; Gujarati: [օ]; [૦]

0585          ; Armn; Gujr; L #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Gurmukhi: [օ]; [੦]

0585          ; Armn; Guru; L #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Hebrew: [օ]; [ס]

0585          ; Armn; Hebr; L #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Kannada: [օ]; [ಂ೦]

0585          ; Armn; Knda; L #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Lao: [օ]; [໐]

0585          ; Armn; Laoo; L #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Latin: [ագզհոռսցքօ]; [f-hnoqu-wøħơ]

0561          ; Armn; Latn; L #      (ա)  ARMENIAN SMALL LETTER AYB
0563          ; Armn; Latn; L #      (գ)  ARMENIAN SMALL LETTER GIM
0566          ; Armn; Latn; L #      (զ)  ARMENIAN SMALL LETTER ZA
0570          ; Armn; Latn; L #      (հ)  ARMENIAN SMALL LETTER HO
0578          ; Armn; Latn; L #      (ո)  ARMENIAN SMALL LETTER VO
057C..057D    ; Armn; Latn; L #  [2] (ռ..ս)  ARMENIAN SMALL LETTER RA..ARMENIAN SMALL LETTER SEH
0581          ; Armn; Latn; L #      (ց)  ARMENIAN SMALL LETTER CO
0584..0585    ; Armn; Latn; L #  [2] (ք..օ)  ARMENIAN SMALL LETTER KEH..ARMENIAN SMALL LETTER OH

# Total code points: 10

# Armenian; Malayalam: [օ]; [ം൦]

0585          ; Armn; Mlym; L #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Myanmar: [օ]; [ဝ၀]

0585          ; Armn; Mymr; L #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Sinhala: [օ]; [ං]

0585          ; Armn; Sinh; L #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Tamil: [օ]; [௦]

0585          ; Armn; Taml; L #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Telugu: [օ]; [ం౦]

0585          ; Armn; Telu; L #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Thai: [օ]; [๐]

0585          ; Armn; Thai; L #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Bengali; Devanagari: [ঁ়]; [ँ़]

0981          ; Beng; Deva; L #      (ঁ)  BENGALI SIGN CANDRABINDU
09BC          ; Beng; Deva; L #      (়)  BENGALI SIGN NUKTA

# Total code points: 2

# Bengali; Greek: [০]; [θ]

09E6          ; Beng; Grek; L #      (০)  BENGALI DIGIT ZERO

# Total code points: 1

# Bengali; Gujarati: [ঁ়]; [ઁ઼]

0981          ; Beng; Gujr; L #      (ঁ)  BENGALI SIGN CANDRABINDU
09BC          ; Beng; Gujr; L #      (়)  BENGALI SIGN NUKTA

# Total code points: 2

# Bengali; Gurmukhi: [ঃ়৪৭]; [ਃ਼੧੪]

0983          ; Beng; Guru; L #      (ঃ)  BENGALI SIGN VISARGA
09BC          ; Beng; Guru; L #      (়)  BENGALI SIGN NUKTA
09EA          ; Beng; Guru; L #      (৪)  BENGALI DIGIT FOUR
09ED          ; Beng; Guru; L #      (৭)  BENGALI DIGIT SEVEN

# Total code points: 4

# Bengali; Han: [০]; [〇]

09E6          ; Beng; Hani; L #      (০)  BENGALI DIGIT ZERO

# Total code points: 1

# Bengali; Hebrew: [়]; [ִ]

09BC          ; Beng; Hebr; L #      (়)  BENGALI SIGN NUKTA

# Total code points: 1

# Bengali; Kannada: [ঃ]; [ಃ]

0983          ; Beng; Knda; L #      (ঃ)  BENGALI SIGN VISARGA

# Total code points: 1

# Bengali; Malayalam: [ঃ০]; [ഃഠ]

0983          ; Beng; Mlym; L #      (ঃ)  BENGALI SIGN VISARGA
09E6          ; Beng; Mlym; L #      (০)  BENGALI DIGIT ZERO

# Total code points: 2

# Bengali; Myanmar: [ঃ]; [း]

0983          ; Beng; Mymr; L #      (ঃ)  BENGALI SIGN VISARGA

# Total code points: 1

# Bengali; Oriya: [ঁ়০৪৭]; [ଁଃଠ଼୦୨]

0981          ; Beng; Orya; L #      (ঁ)  BENGALI SIGN CANDRABINDU
09BC          ; Beng; Orya; L #      (়)  BENGALI SIGN NUKTA
09E6          ; Beng; Orya; L #      (০)  BENGALI DIGIT ZERO
09EA          ; Beng; Orya; L #      (৪)  BENGALI DIGIT FOUR
09ED          ; Beng; Orya; L #      (৭)  BENGALI DIGIT SEVEN

# Total code points: 5

# Bengali; Sinhala: [ঃ]; [ඃ]

0983          ; Beng; Sinh; L #      (ঃ)  BENGALI SIGN VISARGA

# Total code points: 1

# Bengali; Telugu: [ঃ]; [ః]

0983          ; Beng; Telu; L #      (ঃ)  BENGALI SIGN VISARGA

# Total code points: 1

# Cyrillic; Arabic: [оө]; [ه٥ھہە۵ۿ]

043E          ; Cyrl; Arab; L #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Arab; L #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 2

# Cyrillic; Armenian: [опцћһөԛԝ]; [ագզհոռսօ]

043E..043F    ; Cyrl; Armn; L #  [2] (о..п)  CYRILLIC SMALL LETTER O..CYRILLIC SMALL LETTER PE
0446          ; Cyrl; Armn; L #      (ц)  CYRILLIC SMALL LETTER TSE
045B          ; Cyrl; Armn; L #      (ћ)  CYRILLIC SMALL LETTER TSHE
04BB          ; Cyrl; Armn; L #      (һ)  CYRILLIC SMALL LETTER SHHA
04E9          ; Cyrl; Armn; L #      (ө)  CYRILLIC SMALL LETTER BARRED O
051B          ; Cyrl; Armn; L #      (ԛ)  CYRILLIC SMALL LETTER QA
051D          ; Cyrl; Armn; L #      (ԝ)  CYRILLIC SMALL LETTER WE

# Total code points: 8

# Cyrillic; Devanagari: [оө]; [०]

043E          ; Cyrl; Deva; L #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Deva; L #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 2

# Cyrillic; Georgian: [оуүұө]; [ყჿ]

043E          ; Cyrl; Geor; L #      (о)  CYRILLIC SMALL LETTER O
0443          ; Cyrl; Geor; L #      (у)  CYRILLIC SMALL LETTER U
04AF          ; Cyrl; Geor; L #      (ү)  CYRILLIC SMALL LETTER STRAIGHT U
04B1          ; Cyrl; Geor; L #      (ұ)  CYRILLIC SMALL LETTER STRAIGHT U WITH STROKE
04E9          ; Cyrl; Geor; L #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 5

# Cyrillic; Greek: [ако-рт-фцєіқҟҭүұӏөԑ]; [αγεηικο-ρσ-φ]

0430          ; Cyrl; Grek; L #      (а)  CYRILLIC SMALL LETTER A
043A          ; Cyrl; Grek; L #      (к)  CYRILLIC SMALL LETTER KA
043E..0440    ; Cyrl; Grek; L #  [3] (о..р)  CYRILLIC SMALL LETTER O..CYRILLIC SMALL LETTER ER
0442..0444    ; Cyrl; Grek; L #  [3] (т..ф)  CYRILLIC SMALL LETTER TE..CYRILLIC SMALL LETTER EF
0446          ; Cyrl; Grek; L #      (ц)  CYRILLIC SMALL LETTER TSE
0454          ; Cyrl; Grek; L #      (є)  CYRILLIC SMALL LETTER UKRAINIAN IE
0456          ; Cyrl; Grek; L #      (і)  CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I
049B          ; Cyrl; Grek; L #      (қ)  CYRILLIC SMALL LETTER KA WITH DESCENDER
049F          ; Cyrl; Grek; L #      (ҟ)  CYRILLIC SMALL LETTER KA WITH STROKE
04AD          ; Cyrl; Grek; L #      (ҭ)  CYRILLIC SMALL LETTER TE WITH DESCENDER
04AF          ; Cyrl; Grek; L #      (ү)  CYRILLIC SMALL LETTER STRAIGHT U
04B1          ; Cyrl; Grek; L #      (ұ)  CYRILLIC SMALL LETTER STRAIGHT U WITH STROKE
04CF          ; Cyrl; Grek; L #      (ӏ)  CYRILLIC SMALL LETTER PALOCHKA
04E9          ; Cyrl; Grek; L #      (ө)  CYRILLIC SMALL LETTER BARRED O
0511          ; Cyrl; Grek; L #      (ԑ)  CYRILLIC SMALL LETTER REVERSED ZE

# Total code points: 19

# Cyrillic; Gujarati: [оө]; [૦]

043E          ; Cyrl; Gujr; L #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Gujr; L #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 2

# Cyrillic; Gurmukhi: [оө]; [੦]

043E          ; Cyrl; Guru; L #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Guru; L #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 2

# Cyrillic; Hebrew: [оө]; [ס]

043E          ; Cyrl; Hebr; L #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Hebr; L #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 2

# Cyrillic; Kannada: [оө]; [ಂ೦]

043E          ; Cyrl; Knda; L #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Knda; L #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 2

# Cyrillic; Lao: [оө]; [໐]

043E          ; Cyrl; Laoo; L #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Laoo; L #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 2

# Cyrillic; Latin: [агекмо-ухцъє-іјћҍґғқҟҫҭүұһҽҿӎӏӕәөԁԑԛԝ]; [a-eh-yæçøđħıĸŧơəꞓ]

0430          ; Cyrl; Latn; L #      (а)  CYRILLIC SMALL LETTER A
0433          ; Cyrl; Latn; L #      (г)  CYRILLIC SMALL LETTER GHE
0435          ; Cyrl; Latn; L #      (е)  CYRILLIC SMALL LETTER IE
043A          ; Cyrl; Latn; L #      (к)  CYRILLIC SMALL LETTER KA
043C          ; Cyrl; Latn; L #      (м)  CYRILLIC SMALL LETTER EM
043E..0443    ; Cyrl; Latn; L #  [6] (о..у)  CYRILLIC SMALL LETTER O..CYRILLIC SMALL LETTER U
0445..0446    ; Cyrl; Latn; L #  [2] (х..ц)  CYRILLIC SMALL LETTER HA..CYRILLIC SMALL LETTER TSE
044A          ; Cyrl; Latn; L #      (ъ)  CYRILLIC SMALL LETTER HARD SIGN
0454..0456    ; Cyrl; Latn; L #  [3] (є..і)  CYRILLIC SMALL LETTER UKRAINIAN IE..CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I
0458          ; Cyrl; Latn; L #      (ј)  CYRILLIC SMALL LETTER JE
045B          ; Cyrl; Latn; L #      (ћ)  CYRILLIC SMALL LETTER TSHE
048D          ; Cyrl; Latn; L #      (ҍ)  CYRILLIC SMALL LETTER SEMISOFT SIGN
0491          ; Cyrl; Latn; L #      (ґ)  CYRILLIC SMALL LETTER GHE WITH UPTURN
0493          ; Cyrl; Latn; L #      (ғ)  CYRILLIC SMALL LETTER GHE WITH STROKE
049B          ; Cyrl; Latn; L #      (қ)  CYRILLIC SMALL LETTER KA WITH DESCENDER
049F          ; Cyrl; Latn; L #      (ҟ)  CYRILLIC SMALL LETTER KA WITH STROKE
04AB          ; Cyrl; Latn; L #      (ҫ)  CYRILLIC SMALL LETTER ES WITH DESCENDER
04AD          ; Cyrl; Latn; L #      (ҭ)  CYRILLIC SMALL LETTER TE WITH DESCENDER
04AF          ; Cyrl; Latn; L #      (ү)  CYRILLIC SMALL LETTER STRAIGHT U
04B1          ; Cyrl; Latn; L #      (ұ)  CYRILLIC SMALL LETTER STRAIGHT U WITH STROKE
04BB          ; Cyrl; Latn; L #      (һ)  CYRILLIC SMALL LETTER SHHA
04BD          ; Cyrl; Latn; L #      (ҽ)  CYRILLIC SMALL LETTER ABKHASIAN CHE
04BF          ; Cyrl; Latn; L #      (ҿ)  CYRILLIC SMALL LETTER ABKHASIAN CHE WITH DESCENDER
04CE..04CF    ; Cyrl; Latn; L #  [2] (ӎ..ӏ)  CYRILLIC SMALL LETTER EM WITH TAIL..CYRILLIC SMALL LETTER PALOCHKA
04D5          ; Cyrl; Latn; L #      (ӕ)  CYRILLIC SMALL LIGATURE A IE
04D9          ; Cyrl; Latn; L #      (ә)  CYRILLIC SMALL LETTER SCHWA
04E9          ; Cyrl; Latn; L #      (ө)  CYRILLIC SMALL LETTER BARRED O
0501          ; Cyrl; Latn; L #      (ԁ)  CYRILLIC SMALL LETTER KOMI DE
0511          ; Cyrl; Latn; L #      (ԑ)  CYRILLIC SMALL LETTER REVERSED ZE
